customer_id,first_name,last_name,gender,language,agree_for_promo,autopay_card,customer_category,status,data_of_birth,customer_since,email,region,termination_date,msisdn
17,Aria,Gagnon,female,English,0,No, physical,active,1958-05-09,2020-07-02,Aria.Gagnon50567@mail.com,Ontario,,+15197635351
18,Henry,Pelletier,male,English,0,Yes, physical,active,1943-12-28,2021-01-09,Henry.Pelletier29094@hotmail.com,Ontario,,+13438705975
19,Mia,Davis,female,English,0,No, physical,active,1954-09-26,2021-06-19,Mia.Davis47414@hotmail.com,Ontario,,+13435712717
20,Nathan,Rogen,male,English,1,No, physical,active,1989-12-04,2020-04-02,Nathan.Rogen30565@hotmail.com,Manitoba,2020-06-18,+12047630761
21,Ella,Ouellet,female,English,0,No, physical,active,1983-05-02,2021-02-10,Ella.Ouellet69886@gmx.com,New Brunswick,,+15066902775
22,Charlotte,Leblanc,female,English,1,No, physical,active,1985-03-19,2020-04-26,Charlotte.Leblanc4619@aol.com,Alberta,,+17805511281
23,Levi,Gauthier,male,English,0,Yes, physical,inactive,1961-11-02,2020-01-04,Levi.Gauthier38284@hotmail.com,Ontario,,+12896667374
24,Logan,Anderson,male,French,1,No,business,active,1975-07-25,2020-02-15,Logan.Anderson78804@hotmail.com,Quebec,,+14506537886
25,Henry,Davis,male,English,1,No, physical,active,1962-12-09,2021-08-01,Henry.Davis49793@hotmail.com,Alberta,,+14039761911
26,Jack,Grant,male,English,0,No, physical,active,1956-06-29,2020-08-08,Jack.Grant83505@aol.com,British Columbia,2020-03-21,+12503147906
27,Scarlett,Gill,female,English,0,No, physical,active,1956-03-16,2020-05-21,Scarlett.Gill22423@gmx.com,Alberta,,+15879770753
28,Mila,Hall,female,English,0,No, physical,active,1990-08-17,2021-08-05,Mila.Hall5121@gmail.com,Ontario,,+18072711998
29,Noah,Rogen,male,English,0,Yes, physical,active,1965-04-08,2021-04-21,Noah.Rogen63208@gmx.com,Newfoundland and Labrador,,+17097498006
30,Ellie,Gagnon,female,French,0,No, physical,active,1961-09-10,2020-02-08,Ellie.Gagnon72526@hotmail.com,Ontario,,+16479285633
31,Ava,Morrison,female,English,1,No, physical,active,1975-12-19,2021-09-19,Ava.Morrison31792@gmx.com,Ontario,,+16139023708
32,Isla,Bouchard,female,English,1,No, physical,active,1994-12-08,2021-06-17,Isla.Bouchard50300@gmx.com,Ontario,,+16475866065
33,Hannah,Gauthier,female,English,1,Yes, physical,active,1980-12-02,2020-02-25,Hannah.Gauthier31950@aol.com,Ontario,,+14161290017
34,Jack,Murray,male,French,0,No, physical,active,1980-01-06,2020-05-30,Jack.Murray76404@hotmail.com,Quebec,,+14186664599
35,Amelia,Cote,female,French,0,No, physical,inactive,2003-05-02,2021-10-01,Amelia.Cote12987@yahoo.com,Quebec,,+14183717799
36,Charlotte,Leblanc,female,French,1,No, physical,active,2000-02-17,2020-04-26,Charlotte.Leblanc7323@gmail.com,Ontario,2018-12-23,+14372783742
37,Ellie,Peters,female,French,0,No, physical,inactive,1975-02-25,2020-01-30,Ellie.Peters31413@mail.com,Quebec,,+14503191237
38,Zoey,Nadeau,female,English,1,Yes, physical,active,1940-04-16,2020-06-15,Zoey.Nadeau68451@gmail.com,Ontario,,+12268424265
39,Amelia,Murphy,female,English,1,No, physical,active,1967-05-25,2020-12-18,Amelia.Murphy86778@hotmail.com,Ontario,,+12493843813
40,Theodore,Gauthier,male,French,1,Yes, physical,active,1983-05-12,2021-10-13,Theodore.Gauthier22219@aol.com,Ontario,,+18071992083
41,Oliver,Michaud,male,English,1,Yes, physical,active,1989-08-25,2020-05-04,Oliver.Michaud71494@aol.com,Ontario,,+12269365743
42,Mason,Jackson,male,English,1,No, physical,active,1970-06-15,2020-12-28,Mason.Jackson46347@gmx.com,Ontario,,+16132163208
43,Mia,Johnston,female,French,1,No, physical,active,1977-06-08,2020-07-19,Mia.Johnston93609@aol.com,British Columbia,,+12363856378
44,Chloe,Girard,female,English,1,Yes, physical,inactive,1962-11-03,2020-02-26,Chloe.Girard40676@gmail.com,Ontario,,+18072305565
45,Sophia,Lapointe,female,French,0,Yes, physical,active,2001-12-23,2020-10-09,Sophia.Lapointe96157@hotmail.com,Quebec,,+15142397328
46,Noah,Robinson,male,English,0,Yes, physical,active,1967-08-23,2020-01-02,Noah.Robinson88895@gmx.com,Quebec,,+18191473494
47,Charlotte,Evans,female,French,0,Yes, physical,active,1944-12-12,2020-10-07,Charlotte.Evans68274@gmail.com,New Brunswick,,+15066635474
48,Lucas,Fortin,male,English,1,Yes, physical,active,1971-04-07,2021-09-01,Lucas.Fortin95764@mail.com,British Columbia,,+17782333829
49,Mason,Evans,male,English,0,Yes, physical,active,1976-03-26,2021-08-19,Mason.Evans55680@aol.com,Saskatchewan,2020-04-07,+13069058328
50,Luca,Martin,male,French,1,No, physical,active,1972-02-22,2020-02-07,Luca.Martin71052@yahoo.com,Nova Scotia,,+19027775099
51,Charlie,Evans,female,French,0,Yes, physical,active,2001-12-16,2021-05-23,Charlie.Evans81988@aol.com,Ontario,,+13658105309
52,Mila,Rogen,female,English,0,Yes, physical,active,1986-06-01,2021-08-14,Mila.Rogen19519@aol.com,Quebec,,+18736004140
53,Jackson,Anderson,male,English,1,No, physical,active,1978-07-22,2020-04-30,Jackson.Anderson43863@mail.com,Alberta,2020-02-24,+17802625137
54,Noah,Beaulieu,male,English,0,No, physical,active,1965-04-13,2021-06-16,Noah.Beaulieu77037@gmail.com,Manitoba,2019-05-09,+14315787468
55,Charlie,Lin,female,English,0,Yes, physical,active,2000-08-21,2020-03-11,Charlie.Lin8811@mail.com,Alberta,2020-03-18,+17802409577
56,Owen,Johnson,male,English,1,Yes, physical,active,1946-04-12,2021-12-12,Owen.Johnson47878@gmx.com,British Columbia,,+12367592606
57,Noah,Jackson,male,English,0,Yes, physical,active,1997-08-07,2021-11-18,Noah.Jackson97376@aol.com,Quebec,,+13678499769
58,James,Belanger,male,English,1,Yes, physical,active,1947-06-19,2021-04-23,James.Belanger49002@gmail.com,Manitoba,,+12042619785
59,Luca,Rogen,male,French,0,Yes, physical,active,1943-11-02,2020-02-20,Luca.Rogen17214@yahoo.com,Ontario,,+17058927262
60,William,Khan,male,English,1,No, physical,active,1993-02-04,2021-08-12,William.Khan84211@mail.com,Ontario,,+13432551156
61,Mila,Murphy,female,English,0,Yes,business,inactive,2000-08-12,2021-12-03,Mila.Murphy89856@gmx.com,Ontario,,+16138283050
62,Jackson,Robinson,male,French,1,No, physical,active,1991-11-13,2021-04-13,Jackson.Robinson86965@mail.com,Nova Scotia,,+17829540446
63,Scarlett,Jackson,female,English,0,No, physical,active,1946-04-03,2021-08-09,Scarlett.Jackson91361@aol.com,Manitoba,,+14313540194
64,Riley,Murray,female,Chinese,0,Yes, physical,active,1942-05-31,2021-02-17,Riley.Murray20966@gmx.com,Saskatchewan,,+13062283643
65,Ethan,Richard,male,French,0,Yes, physical,active,1990-07-07,2020-01-25,Ethan.Richard39816@mail.com,Quebec,2020-08-10,+15141453049
66,Lily,Jackson,female,French,1,Yes, physical,active,1980-07-27,2020-06-11,Lily.Jackson77978@yahoo.com,Quebec,,+14181765179
67,Aria,Reynolds,female,English,1,No, physical,active,1947-12-21,2021-09-21,Aria.Reynolds80004@yahoo.com,Ontario,,+15193622128
68,Nathan,Harris,male,French,0,Yes,business,inactive,1984-11-12,2021-02-10,Nathan.Harris46445@yahoo.com,Alberta,,+17802693160
69,Henry,Cameron,male,English,0,Yes, physical,active,1951-04-06,2020-01-09,Henry.Cameron19718@mail.com,Quebec,2020-06-13,+14386966377
70,Theodore,Peters,male,English,1,Yes, physical,active,1949-10-16,2021-08-04,Theodore.Peters28005@yahoo.com,Ontario,,+15193016082
71,Aria,Anderson,female,English,0,No, physical,active,1986-11-26,2021-05-11,Aria.Anderson92607@aol.com,Ontario,,+13658114714
72,Ellie,Grant,female,English,1,Yes, physical,active,1970-04-04,2020-10-20,Ellie.Grant84554@mail.com,Quebec,,+15819868644
73,Olivia,Belanger,female,English,0,Yes, physical,active,1959-09-03,2020-02-26,Olivia.Belanger95305@gmx.com,Ontario,,+19058198942
74,Abigail,Harris,female,English,0,No, physical,active,1953-11-18,2020-05-21,Abigail.Harris55068@gmail.com,Ontario,,+18076668459
75,Mia,Hall,female,English,0,Yes, physical,inactive,1945-11-08,2020-01-05,Mia.Hall62092@gmx.com,Quebec,,+14386557791
76,Jackson,Murray,male,English,0,No, physical,active,1963-07-25,2020-02-04,Jackson.Murray3796@gmx.com,Quebec,,+14503544196
77,Oliver,Cote,male,English,1,Yes, physical,active,1957-10-28,2021-08-15,Oliver.Cote48209@hotmail.com,Alberta,,+17804716066
78,William,Landry,male,English,0,Yes, physical,active,1987-06-23,2020-04-14,William.Landry47205@mail.com,Ontario,,+18074557597
79,Lucas,Lavoie,male,French,1,No, physical,active,1951-12-22,2020-01-03,Lucas.Lavoie66051@gmx.com,British Columbia,,+17784376521
80,Oliver,Morin,male,French,0,Yes, physical,inactive,1983-04-29,2021-02-18,Oliver.Morin4963@gmx.com,Ontario,,+13654011480
81,Benjamin,Lapointe,male,English,0,Yes,business,active,1959-04-20,2020-10-16,Benjamin.Lapointe44210@aol.com,Ontario,2020-07-25,+13651733443
82,Oliver,Evans,male,English,0,No, physical,active,1950-02-24,2021-10-18,Oliver.Evans65939@gmail.com,Ontario,2021-03-20,+19059306830
83,Sophia,Murray,female,English,0,Yes, physical,inactive,1968-09-05,2021-05-08,Sophia.Murray80171@gmail.com,British Columbia,,+16048485371
84,Zoey,Johnston,female,English,1,No, physical,active,2003-10-20,2020-11-02,Zoey.Johnston62483@gmail.com,Ontario,,+12261381589
85,Logan,Girard,male,French,0,No, physical,active,1997-12-04,2021-03-26,Logan.Girard85115@gmx.com,Ontario,,+13434745987
86,Mia,Rogen,female,English,0,No,business,active,1973-11-15,2021-04-02,Mia.Rogen72231@gmail.com,Saskatchewan,,+16393680219
87,Lucas,Campbell,male,English,1,No, physical,active,1963-03-28,2020-04-25,Lucas.Campbell75849@yahoo.com,Quebec,,+14382528094
88,Mason,Levesque,male,English,0,No, physical,active,1992-07-16,2020-05-26,Mason.Levesque67626@gmail.com,Ontario,,+15195206144
89,Everly,Harris,female,English,0,No, physical,active,1978-12-11,2020-01-17,Everly.Harris33235@gmx.com,Ontario,,+19053954815
90,Leah,Morrison,female,English,1,Yes, physical,active,1948-09-18,2020-08-03,Leah.Morrison65344@hotmail.com,Quebec,,+13678083004
91,Grayson,Beaulieu,male,English,1,Yes, physical,active,1953-08-25,2021-08-23,Grayson.Beaulieu99797@hotmail.com,British Columbia,,+12363335729
92,Olivia,MacDonald,female,English,1,No, physical,active,1951-05-20,2021-02-12,Olivia.MacDonald33553@hotmail.com,Ontario,2021-03-21,+12892263603
93,Scarlett,Campbell,female,French,1,Yes, physical,inactive,1997-07-31,2021-02-10,Scarlett.Campbell21716@mail.com,Manitoba,,+12046424563
94,Jacob,Johnston,male,English,1,Yes, physical,active,1982-02-13,2020-12-27,Jacob.Johnston74126@aol.com,Ontario,,+14166799602
95,Henry,Martin,male,English,1,No, physical,active,1984-10-25,2020-10-07,Henry.Martin26373@gmail.com,British Columbia,2020-02-25,+12506461963
96,Leo,Johnston,male,English,1,No, physical,active,1993-07-16,2021-09-25,Leo.Johnston1724@gmail.com,Alberta,,+14039946485
97,Charlotte,Levesque,female,English,0,No, physical,active,1941-05-27,2020-03-27,Charlotte.Levesque30663@aol.com,Quebec,2021-02-10,+14186522638
98,Jack,Hall,male,English,1,Yes, physical,active,1945-06-06,2021-04-11,Jack.Hall28377@hotmail.com,Ontario,2021-08-27,+15197617994
99,Henry,Harris,male,English,1,Yes,business,active,1979-03-02,2020-07-11,Henry.Harris2578@mail.com,Ontario,,+14169802757
100,Avery,Murphy,female,French,0,Yes,business,active,1983-06-02,2020-05-26,Avery.Murphy80475@hotmail.com,Ontario,,+17055032213
101,Logan,Lewis,male,French,1,Yes, physical,active,1998-10-04,2021-10-02,Logan.Lewis85297@yahoo.com,Alberta,2019-06-22,+17809028463
102,Theodore,Anderson,male,French,1,Yes, physical,active,1978-02-09,2021-08-25,Theodore.Anderson77466@hotmail.com,Quebec,,+18738715220
103,Levi,Nadeau,male,English,0,No,business,active,1957-02-19,2020-12-03,Levi.Nadeau75376@mail.com,Saskatchewan,,+13061163194
104,Grayson,Lin,male,English,0,Yes, physical,active,1971-08-09,2020-10-06,Grayson.Lin43100@aol.com,Ontario,,+15193737526
105,Alexander,Campbell,male,English,0,Yes, physical,active,1968-07-07,2020-05-26,Alexander.Campbell44185@gmail.com,Alberta,,+14031962929
106,Owen,Nadeau,male,English,1,No, physical,active,2001-01-21,2021-03-22,Owen.Nadeau55042@gmail.com,Ontario,,+14166392025
107,Benjamin,Rogen,male,English,0,No, physical,inactive,1964-03-09,2021-06-16,Benjamin.Rogen59856@mail.com,British Columbia,,+16724507071
108,Avery,Murray,female,English,0,Yes, physical,active,1979-09-30,2021-12-13,Avery.Murray56162@gmx.com,British Columbia,,+16044224217
109,Everly,Campbell,female,English,0,Yes, physical,inactive,1991-02-05,2021-05-05,Everly.Campbell49254@hotmail.com,Ontario,,+15196715272
110,Luca,King,male,English,0,No, physical,active,1997-03-16,2020-03-17,Luca.King21632@hotmail.com,Ontario,,+15194619073
111,Owen,Belanger,male,English,1,No, physical,active,1953-03-24,2021-10-15,Owen.Belanger13384@yahoo.com,British Columbia,,+17785314167
112,Theodore,Mitchell,male,French,0,No, physical,active,1946-07-10,2020-09-17,Theodore.Mitchell15406@mail.com,British Columbia,,+17785314498
113,Elliot,Johnson,male,French,1,No, physical,active,1942-06-01,2020-09-05,Elliot.Johnson98658@yahoo.com,Ontario,,+19056322005
114,Mia,Harris,female,English,1,Yes, physical,active,2001-03-20,2020-08-08,Mia.Harris37908@gmx.com,Ontario,2020-12-10,+16478143184
115,Theodore,Fortin,male,English,1,Yes, physical,active,1988-06-27,2021-10-12,Theodore.Fortin86591@hotmail.com,Ontario,,+16471043982
116,Ella,Jackson,female,English,0,No, physical,inactive,1956-12-05,2021-04-15,Ella.Jackson78025@aol.com,Quebec,,+18732483615
117,Luca,Robinson,male,English,1,Yes, physical,active,1993-03-11,2021-12-07,Luca.Robinson40880@gmail.com,British Columbia,,+12361784502
118,Levi,Cote,male,English,0,No, physical,active,1953-09-01,2021-06-22,Levi.Cote37285@yahoo.com,Ontario,,+14374740393
119,Noah,MacDonald,male,English,1,No, physical,active,2002-09-16,2021-06-02,Noah.MacDonald49604@yahoo.com,New Brunswick,2020-07-06,+15064258873
120,Theodore,Hall,male,French,0,No, physical,active,1962-11-06,2021-12-17,Theodore.Hall36318@gmail.com,Quebec,,+15798119403
121,James,Patel,male,French,1,No, physical,active,1949-09-14,2020-04-21,James.Patel25178@gmx.com,British Columbia,,+12504923951
122,Lily,Davis,female,English,1,Yes, physical,active,1974-02-13,2021-01-04,Lily.Davis34166@aol.com,Alberta,,+18256893037
123,Charlotte,Ouellet,female,English,0,Yes, physical,active,1997-09-01,2021-04-09,Charlotte.Ouellet68857@hotmail.com,Ontario,,+19059181439
124,Olivia,Lin,female,English,0,Yes, physical,active,1948-03-26,2021-09-27,Olivia.Lin29570@gmail.com,Ontario,,+15197999621
125,Amelia,MacDonald,female,French,0,No, physical,active,1964-12-23,2020-09-27,Amelia.MacDonald50237@gmx.com,Ontario,,+12493727097
126,Levi,Cote,male,French,0,Yes,business,active,2003-12-18,2020-02-20,Levi.Cote1223@gmail.com,Quebec,,+18731940820
127,Sophia,Cameron,female,English,1,Yes,business,active,1983-07-20,2021-03-08,Sophia.Cameron98973@yahoo.com,British Columbia,,+12505579512
128,Jacob,Gagnon,male,English,1,Yes, physical,active,1984-02-17,2020-08-19,Jacob.Gagnon92096@gmx.com,Alberta,,+15871138719
129,Elliot,Lavoie,male,English,1,No, physical,active,1980-10-03,2020-07-27,Elliot.Lavoie86381@hotmail.com,Ontario,2021-09-02,+17052580349
130,Charlie,Ouellet,female,French,1,Yes, physical,inactive,1957-08-26,2021-03-16,Charlie.Ouellet99401@aol.com,Manitoba,,+12048378349
131,Ellie,Gill,female,English,1,No, physical,active,1959-09-03,2020-08-05,Ellie.Gill27093@mail.com,British Columbia,,+12368458057
132,Sophia,Harris,female,English,1,No,business,inactive,1988-08-23,2021-09-06,Sophia.Harris48886@aol.com,Ontario,,+18073035146
133,Miles,Morin,male,French,0,Yes, physical,active,1996-08-24,2021-01-05,Miles.Morin64102@gmx.com,Ontario,,+17052744168
134,James,Levesque,male,English,1,No, physical,inactive,1987-05-07,2021-12-11,James.Levesque52409@gmail.com,Ontario,2020-01-03,+13436206324
135,Levi,MacDonald,male,English,0,No, physical,active,1990-12-17,2021-07-31,Levi.MacDonald92852@gmx.com,Alberta,2021-07-06,+17808858767
136,Scarlett,Richard,female,English,1,No, physical,active,1959-10-06,2022-01-01,Scarlett.Richard37568@gmail.com,Quebec,,+18733757687
137,Olivia,Khan,female,English,0,No,business,active,1953-09-27,2021-09-05,Olivia.Khan45596@gmx.com,Saskatchewan,,+16392377430
138,Jack,Richard,male,English,0,No, physical,active,1967-12-08,2021-12-10,Jack.Richard98647@mail.com,Ontario,,+13435893872
139,Ellie,Anderson,female,English,0,No, physical,active,1969-12-14,2021-06-06,Ellie.Anderson70099@gmx.com,British Columbia,,+12368103720
140,Lily,Michaud,female,French,0,Yes, physical,active,1975-07-05,2021-03-02,Lily.Michaud75433@yahoo.com,Quebec,,+15815547102
141,Zoey,Lavoie,female,English,1,No, physical,active,1947-06-02,2021-09-12,Zoey.Lavoie46207@mail.com,Ontario,,+14163362137
142,Ellie,Levesque,female,English,1,No, physical,active,1948-09-29,2021-01-26,Ellie.Levesque25944@yahoo.com,Alberta,,+18255433303
143,Hannah,Anderson,female,French,0,No, physical,active,1998-02-09,2020-04-29,Hannah.Anderson38619@gmail.com,Quebec,,+18735007995
144,Charlie,Campbell,female,English,1,Yes, physical,inactive,1970-04-21,2021-03-12,Charlie.Campbell57230@yahoo.com,Quebec,,+18735711851
145,Mia,Nguyen,female,English,0,Yes,business,active,1943-12-08,2020-01-20,Mia.Nguyen97269@hotmail.com,Manitoba,,+12043090102
146,Elliot,Gagnon,male,English,0,No, physical,active,1944-05-06,2021-11-12,Elliot.Gagnon98373@gmx.com,Alberta,,+17801776216
147,Isabella,Martin,female,English,0,No, physical,active,1998-06-13,2020-12-09,Isabella.Martin55301@gmx.com,British Columbia,,+17781675350
148,Lucas,Reynolds,male,French,1,Yes, physical,active,1998-02-15,2020-03-10,Lucas.Reynolds9775@yahoo.com,Ontario,,+12267876583
149,Emma,Leblanc,female,English,0,No, physical,active,1994-07-31,2020-08-15,Emma.Leblanc48956@aol.com,Ontario,,+15194161341
150,Amelia,Graham,female,English,0,No, physical,inactive,1979-08-17,2021-09-03,Amelia.Graham57130@yahoo.com,Ontario,,+18071980457
151,Theodore,Gagnon,male,French,0,Yes, physical,active,1942-01-06,2020-03-07,Theodore.Gagnon89055@hotmail.com,Alberta,,+15872252495
152,Mila,Girard,female,English,0,No, physical,active,1961-09-25,2021-01-13,Mila.Girard20871@gmail.com,Quebec,,+15818226272
153,Isabella,Kennedy,female,English,1,Yes, physical,active,1999-10-17,2021-02-09,Isabella.Kennedy95355@gmx.com,Quebec,,+15816902454
154,Nora,Harris,female,English,1,Yes, physical,active,1960-08-10,2021-03-07,Nora.Harris35069@hotmail.com,Ontario,,+13657397297
155,Everly,Martin,female,English,0,Yes, physical,active,1967-05-14,2021-04-20,Everly.Martin54325@yahoo.com,British Columbia,,+12362914222
156,Hannah,Chen,female,English,1,Yes, physical,active,1989-08-17,2021-02-27,Hannah.Chen82972@mail.com,Quebec,,+18733600489
157,Miles,MacDonald,male,English,0,No, physical,active,1997-12-20,2021-04-20,Miles.MacDonald70395@hotmail.com,British Columbia,,+12509888623
158,Leo,Kennedy,male,Chinese,1,Yes, physical,active,1976-01-12,2021-09-08,Leo.Kennedy19274@gmail.com,Ontario,,+13437081663
159,Jackson,Richard,male,English,0,Yes,business,active,1965-10-22,2020-07-08,Jackson.Richard63067@aol.com,Quebec,,+18197237503
160,Alexander,Girard,male,French,0,No, physical,active,1979-09-21,2020-01-17,Alexander.Girard27694@gmail.com,Quebec,,+14183338800
161,Nathan,Gauthier,male,English,0,No, physical,active,1981-03-25,2020-12-17,Nathan.Gauthier52083@gmail.com,Manitoba,,+14312083032
162,Luca,Cameron,male,English,1,No, physical,active,1991-09-20,2021-11-10,Luca.Cameron92972@gmx.com,Ontario,2020-08-19,+15192122032
163,Elliot,Martin,male,English,0,No, physical,active,1974-10-26,2020-05-22,Elliot.Martin28366@hotmail.com,Quebec,,+18198834389
164,Noah,Nadeau,male,English,0,Yes, physical,active,1943-04-07,2020-04-15,Noah.Nadeau91053@mail.com,Manitoba,,+14313100363
165,Riley,Nguyen,female,English,0,Yes, physical,active,1958-08-27,2020-11-18,Riley.Nguyen79723@aol.com,Ontario,,+13431148403
166,Oliver,Gagnon,male,English,1,Yes, physical,active,1985-06-05,2021-06-01,Oliver.Gagnon24250@gmail.com,Quebec,,+18199903458
167,Nathan,Evans,male,English,1,No, physical,active,1972-09-26,2020-02-20,Nathan.Evans39902@hotmail.com,Saskatchewan,,+13064955259
168,Noah,Nadeau,male,French,1,No, physical,active,1990-08-31,2021-02-26,Noah.Nadeau88115@hotmail.com,Ontario,,+17054217477
169,Noah,Nadeau,male,English,1,No, physical,active,1972-01-04,2020-09-29,Noah.Nadeau64258@yahoo.com,Manitoba,2018-09-01,+12048701836
170,Hannah,Morin,female,English,0,Yes, physical,active,1947-08-17,2021-01-20,Hannah.Morin1659@gmx.com,Ontario,,+12263802174
171,Grayson,Belanger,male,English,0,Yes, physical,inactive,2000-10-22,2021-09-28,Grayson.Belanger33011@yahoo.com,Quebec,,+18198382451
172,Miles,Murphy,male,French,1,No, physical,active,1987-11-22,2020-07-02,Miles.Murphy52239@hotmail.com,Ontario,,+17058672411
173,Oliver,Campbell,male,English,1,No, physical,active,1980-10-09,2021-06-23,Oliver.Campbell25400@yahoo.com,Quebec,,+18733584566
174,Liam,Beaulieu,male,English,1,No, physical,active,1997-05-21,2021-08-29,Liam.Beaulieu24649@mail.com,Ontario,,+12262645153
175,Abigail,Beaulieu,female,English,0,No, physical,active,1964-05-04,2021-09-04,Abigail.Beaulieu95579@yahoo.com,British Columbia,,+12508270625
176,Elliot,Lewis,male,English,0,No, physical,active,1945-06-06,2020-04-11,Elliot.Lewis33687@mail.com,Ontario,,+16474991279
177,Oliver,Pelletier,male,French,1,No, physical,active,1963-05-26,2020-02-13,Oliver.Pelletier60662@aol.com,New Brunswick,,+15067217111
178,Chloe,Graham,female,English,0,No, physical,active,1996-05-05,2021-11-27,Chloe.Graham53288@hotmail.com,Ontario,,+13654303177
179,Charlie,Cote,female,English,0,Yes, physical,active,1997-02-08,2021-05-27,Charlie.Cote65000@gmx.com,Quebec,,+14388695340
180,Henry,Khan,male,English,0,Yes, physical,inactive,1957-05-24,2020-05-17,Henry.Khan77904@gmail.com,Quebec,,+15797126179
181,Nathan,Fortin,male,French,0,Yes, physical,active,1945-10-01,2021-08-16,Nathan.Fortin79377@hotmail.com,British Columbia,,+12509123407
182,Liam,Murphy,male,English,0,Yes, physical,active,1944-12-06,2020-12-12,Liam.Murphy94442@gmail.com,Ontario,,+14164604663
183,Henry,Nadeau,male,English,0,Yes, physical,active,1996-12-06,2020-12-09,Henry.Nadeau47611@gmx.com,Quebec,2020-06-10,+14384776981
184,Theodore,Beaulieu,male,English,0,Yes, physical,active,1967-01-21,2021-09-15,Theodore.Beaulieu60675@yahoo.com,Quebec,2021-06-29,+14388072648
185,Theodore,Johnson,male,English,0,No, physical,active,1998-04-25,2020-12-02,Theodore.Johnson50221@yahoo.com,Alberta,,+15876270296
186,Ethan,Gill,male,English,1,No, physical,active,1958-10-27,2021-07-26,Ethan.Gill61016@mail.com,Quebec,,+15793108757
187,Lucas,Peters,male,English,0,No, physical,active,1980-12-19,2020-02-29,Lucas.Peters1006@mail.com,Nova Scotia,,+19028637186
188,Owen,Girard,male,English,0,Yes, physical,active,1977-05-07,2021-12-31,Owen.Girard96398@mail.com,British Columbia,,+12367290663
189,William,Gauthier,male,English,0,Yes, physical,active,1940-11-08,2020-07-07,William.Gauthier94259@gmx.com,Quebec,,+15145352487
190,Jacob,Cote,male,English,0,Yes, physical,active,1979-07-19,2020-07-24,Jacob.Cote21469@gmx.com,British Columbia,2018-11-22,+12369779501
191,Charlie,Lewis,female,English,1,Yes, physical,active,1972-08-22,2020-05-09,Charlie.Lewis74034@gmail.com,Saskatchewan,,+13063713152
192,Isla,Khan,female,English,0,Yes, physical,inactive,1956-05-26,2021-08-11,Isla.Khan43233@mail.com,British Columbia,,+17789011020
193,Avery,Lapointe,female,English,0,No, physical,active,1971-09-04,2020-02-23,Avery.Lapointe87584@hotmail.com,Ontario,,+16135574217
194,Nora,Morin,female,English,0,No,business,active,1978-09-14,2021-05-28,Nora.Morin90648@aol.com,British Columbia,,+12366229403
195,Abigail,Martin,female,English,0,Yes, physical,active,1945-01-03,2021-06-04,Abigail.Martin53777@mail.com,Alberta,,+15877592084
196,Leah,Beaulieu,female,English,0,No, physical,active,1991-03-24,2021-11-24,Leah.Beaulieu15288@gmail.com,British Columbia,,+16044752978
197,Leah,Lapointe,female,French,1,Yes, physical,inactive,1973-06-22,2021-01-15,Leah.Lapointe64385@mail.com,Ontario,,+13654010494
