customer_id,first_name,last_name,gender,age,language,agree_for_promo,autopay_card,customer_category,status,data_of_birth,customer_since,email,region,geo,termination_date,msisdn
35,Levi,Nadeau,male,1997,English,1,Yes, physical,active,1997-04-23,2020-02-07,Levi.Nadeau60716@mail.com,Newfoundland and Labrador,"[47.561796, -52.712189]",,+17091522383
36,Henry,Mitchell,male,1953,English,0,Yes, physical,active,1953-12-18,2020-01-20,Henry.Mitchell43715@mail.com,Ontario,"[43.684345,-79.431292]",,+14374726222
37,Abigail,Hall,female,1987,English,0,No, physical,active,1987-04-19,2021-03-04,Abigail.Hall82030@yahoo.com,Ontario,"[43.684345,-79.431292]",2021-01-05,+12893101490
38,Leah,Johnston,female,1944,English,0,Yes, physical,inactive,1944-11-17,2021-06-29,Leah.Johnston99302@mail.com,Ontario,"[43.684345,-79.431292]",,+12499753129
39,Alexander,Murphy,male,1996,English,0,Yes, physical,active,1996-08-14,2020-06-04,Alexander.Murphy16227@gmail.com,British Columbia,"[48.423095,-123.366788]",,+16044113648
40,Aria,Campbell,female,1977,French,0,No, physical,active,1977-06-02,2020-02-26,Aria.Campbell8473@yahoo.com,Ontario,"[43.684345,-79.431292]",,+13654831834
41,James,Kennedy,male,1991,English,0,No,business,active,1991-10-18,2021-07-20,James.Kennedy75827@yahoo.com,Newfoundland and Labrador,"[47.561796, -52.712189]",,+17095211246
42,Emma,Gauthier,female,1977,English,0,Yes, physical,active,1977-05-20,2020-07-27,Emma.Gauthier33626@gmx.com,Ontario,"[43.684345,-79.431292]",2020-07-20,+15198272233
43,William,Pelletier,male,1957,English,1,No, physical,active,1957-10-13,2021-12-15,William.Pelletier94155@gmx.com,Manitoba,"[49.887898, -97.134185]",,+14315774656
44,Jack,Davis,male,1981,English,0,Yes, physical,active,1981-01-14,2021-09-19,Jack.Davis85179@gmx.com,Nova Scotia,"[44.653761, -63.601324]",,+19025890018
45,Emma,Girard,female,1941,English,0,No, physical,active,1941-07-16,2020-05-17,Emma.Girard63162@hotmail.com,Quebec,"[46.807102,-71.211788]",,+15799347380
46,Jacob,Johnston,male,1950,English,0,Yes, physical,active,1950-08-17,2021-12-03,Jacob.Johnston66359@yahoo.com,Saskatchewan,"[50.464050, -104.605617]",,+13066330279
47,Oliver,Ouellet,male,2002,French,1,Yes, physical,inactive,2002-07-02,2020-08-04,Oliver.Ouellet34010@aol.com,Alberta,"[53.530798,-113.511802]",,+18251828498
48,Scarlett,MacDonald,female,1970,English,1,No, physical,active,1970-06-29,2020-11-23,Scarlett.MacDonald79897@gmail.com,Quebec,"[46.807102,-71.211788]",,+13675766044
49,Levi,Johnson,male,1976,French,0,Yes, physical,active,1976-11-20,2021-04-07,Levi.Johnson4788@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+16722549134
50,Sophia,Landry,female,1989,French,1,Yes, physical,inactive,1989-01-15,2021-11-23,Sophia.Landry35120@yahoo.com,Ontario,"[43.684345,-79.431292]",,+13438629336
51,Isla,Graham,female,1954,Chinese,0,Yes, physical,active,1954-02-21,2021-05-23,Isla.Graham45653@gmx.com,Alberta,"[53.530798,-113.511802]",,+15871565398
52,Theodore,Reynolds,male,1946,French,0,No, physical,active,1946-06-20,2020-12-26,Theodore.Reynolds20807@gmail.com,Manitoba,"[49.887898, -97.134185]",,+14317772618
53,Ethan,Hall,male,1943,French,0,No, physical,active,1943-11-23,2020-08-18,Ethan.Hall10175@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+16727764080
54,James,Gauthier,male,1986,English,0,Yes, physical,active,1986-03-24,2021-04-13,James.Gauthier27340@gmx.com,British Columbia,"[48.423095,-123.366788]",2020-03-17,+16728582945
55,Aria,Graham,female,1974,English,1,Yes, physical,active,1974-08-15,2020-10-09,Aria.Graham33199@gmail.com,Alberta,"[53.530798,-113.511802]",2020-03-12,+18255167648
56,Noah,Gill,male,1962,English,0,Yes, physical,active,1962-03-08,2021-04-02,Noah.Gill97349@gmail.com,Alberta,"[53.530798,-113.511802]",,+14031109832
57,Henry,Evans,male,1952,English,1,No, physical,active,1952-01-07,2021-09-21,Henry.Evans46168@gmail.com,British Columbia,"[48.423095,-123.366788]",,+16049472950
58,Grayson,Nguyen,male,1960,French,1,Yes, physical,active,1960-09-14,2021-04-04,Grayson.Nguyen5994@mail.com,Alberta,"[53.530798,-113.511802]",,+14032888696
59,Theodore,Campbell,male,2001,English,1,Yes, physical,active,2001-11-11,2020-01-16,Theodore.Campbell48655@gmail.com,British Columbia,"[48.423095,-123.366788]",2020-04-25,+16722300298
60,Jackson,Levesque,male,1985,English,1,No, physical,active,1985-03-22,2020-01-30,Jackson.Levesque2309@hotmail.com,Quebec,"[46.807102,-71.211788]",,+14503896439
61,Grayson,Cote,male,1951,English,0,No, physical,active,1951-01-27,2020-07-05,Grayson.Cote30948@mail.com,Ontario,"[43.684345,-79.431292]",,+15484393322
62,Nora,Fortin,female,1969,English,0,No, physical,active,1969-04-07,2020-01-07,Nora.Fortin90179@aol.com,Ontario,"[43.684345,-79.431292]",,+16134246832
63,Elliot,Landry,male,1980,English,1,No, physical,active,1980-07-31,2020-08-14,Elliot.Landry68093@mail.com,British Columbia,"[48.423095,-123.366788]",,+12505118638
64,Leo,Cameron,male,1944,English,0,No, physical,active,1944-10-15,2020-11-10,Leo.Cameron38535@gmail.com,Quebec,"[46.807102,-71.211788]",,+14389603278
65,Charlotte,Robinson,female,1954,English,1,Yes, physical,active,1954-03-29,2020-06-07,Charlotte.Robinson15136@mail.com,Quebec,"[46.807102,-71.211788]",,+14183169885
66,Owen,Harris,male,1984,English,0,Yes, physical,active,1984-02-14,2021-11-13,Owen.Harris80159@aol.com,Alberta,"[53.530798,-113.511802]",,+14039558977
67,Ava,Graham,female,1993,English,1,Yes,business,active,1993-12-20,2020-12-09,Ava.Graham35068@hotmail.com,Quebec,"[46.807102,-71.211788]",,+14508295354
68,Leo,Patel,male,1952,English,0,No, physical,active,1952-12-09,2021-12-30,Leo.Patel89127@gmx.com,Quebec,"[46.807102,-71.211788]",2019-04-03,+14188937416
69,Oliver,Johnston,male,2004,French,1,Yes, physical,active,2004-02-07,2020-02-15,Oliver.Johnston77904@gmx.com,Quebec,"[46.807102,-71.211788]",,+15797938033
70,Scarlett,Kennedy,female,1986,English,0,Yes, physical,active,1986-10-19,2021-02-11,Scarlett.Kennedy12516@yahoo.com,Ontario,"[43.684345,-79.431292]",,+13653547231
71,Mateo,Belanger,male,1948,English,0,Yes, physical,active,1948-11-29,2020-06-23,Mateo.Belanger60300@hotmail.com,Ontario,"[43.684345,-79.431292]",,+12262818688
72,William,Levesque,male,2003,English,0,No, physical,active,2003-05-20,2021-10-25,William.Levesque70918@mail.com,Alberta,"[53.530798,-113.511802]",2020-02-20,+18255914818
73,Chloe,Graham,female,1978,English,1,No, physical,active,1978-10-21,2021-10-25,Chloe.Graham29629@gmx.com,Quebec,"[46.807102,-71.211788]",,+14507062506
74,Theodore,Chen,male,1995,French,0,Yes, physical,active,1995-04-12,2020-05-23,Theodore.Chen31459@yahoo.com,Quebec,"[46.807102,-71.211788]",,+18192762831
75,Lily,Graham,female,1948,English,0,No, physical,active,1948-11-02,2021-04-13,Lily.Graham48832@mail.com,Quebec,"[46.807102,-71.211788]",,+14388660556
76,Elliot,Beaulieu,male,1964,English,1,Yes, physical,active,1964-08-11,2020-03-13,Elliot.Beaulieu53520@hotmail.com,Ontario,"[43.684345,-79.431292]",,+16132074484
77,Chloe,Rogen,female,1955,English,1,No, physical,active,1955-12-22,2021-05-28,Chloe.Rogen17707@gmx.com,Ontario,"[43.684345,-79.431292]",,+15196758319
78,Liam,Lewis,male,1950,French,0,Yes, physical,active,1950-07-08,2021-12-22,Liam.Lewis92833@mail.com,Quebec,"[46.807102,-71.211788]",,+15149680198
79,Zoey,Patel,female,1967,English,1,No, physical,active,1967-09-08,2021-01-30,Zoey.Patel74477@gmx.com,Ontario,"[43.684345,-79.431292]",,+18078394242
80,Isabella,Davis,female,1959,French,0,Yes, physical,active,1959-06-13,2020-02-01,Isabella.Davis74152@hotmail.com,Quebec,"[46.807102,-71.211788]",,+13675814569
81,Grayson,Michaud,male,1949,English,0,Yes, physical,active,1949-11-09,2020-12-14,Grayson.Michaud85833@gmx.com,Quebec,"[46.807102,-71.211788]",2020-07-16,+14185765169
82,Luca,Girard,male,1969,French,1,No, physical,active,1969-09-03,2021-01-05,Luca.Girard2667@aol.com,Ontario,"[43.684345,-79.431292]",,+19051360814
83,Hannah,Murray,female,1977,English,1,Yes, physical,active,1977-10-19,2021-08-26,Hannah.Murray8706@aol.com,Quebec,"[46.807102,-71.211788]",,+14501676230
84,Nathan,Reynolds,male,1977,French,0,Yes, physical,inactive,1977-09-27,2020-10-28,Nathan.Reynolds49219@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+16723534056
85,Logan,Chen,male,1949,English,1,No, physical,inactive,1949-04-16,2020-04-28,Logan.Chen88010@gmx.com,Ontario,"[43.684345,-79.431292]",2019-10-06,+12894304220
86,Aria,Peters,female,1949,French,0,No, physical,active,1949-12-13,2021-11-26,Aria.Peters17522@aol.com,Ontario,"[43.684345,-79.431292]",,+14376123243
87,Mia,Michaud,female,1986,English,0,Yes, physical,active,1986-04-30,2020-05-02,Mia.Michaud33993@hotmail.com,Quebec,"[46.807102,-71.211788]",,+18738306020
88,Charlotte,Davis,female,2003,English,0,Yes, physical,active,2003-03-03,2021-03-15,Charlotte.Davis57456@gmx.com,Quebec,"[46.807102,-71.211788]",,+14389402012
89,Mila,Reynolds,female,1962,English,1,Yes, physical,active,1962-04-25,2021-05-24,Mila.Reynolds26634@aol.com,Alberta,"[53.530798,-113.511802]",,+14039638960
90,Chloe,Robinson,female,1948,English,1,No, physical,active,1948-06-13,2021-05-21,Chloe.Robinson12858@aol.com,Quebec,"[46.807102,-71.211788]",,+18197155072
91,Isabella,Bouchard,female,1945,English,1,No, physical,active,1945-11-13,2020-05-06,Isabella.Bouchard26175@gmx.com,Manitoba,"[49.887898, -97.134185]",,+12048867498
92,Charlie,Lewis,female,1958,French,1,Yes, physical,active,1958-06-27,2021-01-18,Charlie.Lewis91911@mail.com,Quebec,"[46.807102,-71.211788]",,+15797911004
93,Leo,Patel,male,1960,French,0,Yes, physical,active,1960-04-19,2020-12-15,Leo.Patel14793@aol.com,Alberta,"[53.530798,-113.511802]",2020-06-10,+14034429708
94,Mason,Morin,male,2002,English,0,Yes, physical,active,2002-03-07,2021-08-20,Mason.Morin38386@mail.com,Alberta,"[53.530798,-113.511802]",,+18253668529
95,Isla,Rogen,female,1962,English,1,No, physical,active,1962-10-09,2020-05-14,Isla.Rogen38718@aol.com,Saskatchewan,"[50.464050, -104.605617]",,+13064922085
96,Nora,King,female,1956,French,0,No, physical,active,1956-01-23,2020-11-15,Nora.King15909@gmail.com,Quebec,"[46.807102,-71.211788]",,+15799460213
97,Nathan,Anderson,male,1974,English,0,No,business,active,1974-06-12,2020-09-24,Nathan.Anderson20965@yahoo.com,Ontario,"[43.684345,-79.431292]",,+12891525364
98,Olivia,Lavoie,female,1952,French,0,Yes, physical,active,1952-12-11,2020-05-30,Olivia.Lavoie22413@hotmail.com,Alberta,"[53.530798,-113.511802]",,+14033308512
99,Ethan,Johnson,male,1996,English,1,No, physical,inactive,1996-06-19,2020-06-12,Ethan.Johnson18274@mail.com,Ontario,"[43.684345,-79.431292]",,+15199146681
100,James,Morin,male,1989,English,1,No,business,active,1989-08-10,2020-10-31,James.Morin72889@gmail.com,Quebec,"[46.807102,-71.211788]",,+14385111579
101,Oliver,Johnson,male,1963,English,1,Yes, physical,active,1963-06-28,2020-01-21,Oliver.Johnson80549@hotmail.com,Ontario,"[43.684345,-79.431292]",,+17056104218
102,Scarlett,Evans,female,1990,French,1,Yes, physical,active,1990-08-21,2020-06-14,Scarlett.Evans17920@yahoo.com,Ontario,"[43.684345,-79.431292]",,+19051404173
103,Miles,Patel,male,1962,English,0,No, physical,inactive,1962-12-10,2021-06-09,Miles.Patel69236@gmx.com,Nova Scotia,"[44.653761, -63.601324]",,+17823815196
104,Theodore,Pelletier,male,1964,English,1,Yes, physical,active,1964-01-16,2020-03-31,Theodore.Pelletier50392@gmx.com,Ontario,"[43.684345,-79.431292]",,+16474229183
105,Oliver,Nguyen,male,1982,English,0,No, physical,active,1982-04-28,2021-12-18,Oliver.Nguyen27586@gmx.com,Alberta,"[53.530798,-113.511802]",2021-06-07,+14032053004
106,James,Morrison,male,1969,English,0,Yes,business,active,1969-03-18,2020-06-25,James.Morrison13856@aol.com,Ontario,"[43.684345,-79.431292]",,+15481128522
107,William,Grant,male,1983,French,0,Yes, physical,active,1983-07-03,2020-05-10,William.Grant18722@gmx.com,Saskatchewan,"[50.464050, -104.605617]",,+16394515993
108,Leah,Lapointe,female,1951,English,0,Yes, physical,inactive,1951-07-02,2021-08-04,Leah.Lapointe16095@aol.com,Manitoba,"[49.887898, -97.134185]",,+14315516935
109,Jack,Anderson,male,1997,English,1,No, physical,active,1997-03-02,2020-11-04,Jack.Anderson88157@hotmail.com,Alberta,"[53.530798,-113.511802]",,+14039020949
110,Hannah,Chen,female,1995,English,1,No, physical,active,1995-04-22,2021-08-22,Hannah.Chen70521@gmail.com,Ontario,"[43.684345,-79.431292]",,+13652848623
111,Lily,Gauthier,female,1962,French,0,Yes, physical,inactive,1962-06-07,2021-04-02,Lily.Gauthier11838@yahoo.com,Ontario,"[43.684345,-79.431292]",,+15195941662
112,Charlie,Nadeau,female,1971,English,0,Yes, physical,active,1971-01-28,2021-08-11,Charlie.Nadeau62357@yahoo.com,Quebec,"[46.807102,-71.211788]",,+18736432021
113,Benjamin,Landry,male,1960,English,0,No, physical,active,1960-03-10,2021-04-09,Benjamin.Landry93223@gmail.com,Quebec,"[46.807102,-71.211788]",,+18735930181
114,Ella,King,female,2004,English,1,No, physical,active,2004-03-01,2020-08-12,Ella.King17091@aol.com,Yukon,"[60.735414, -135.083119]",,+18671022779
115,Elliot,Rogen,male,1980,French,0,No, physical,active,1980-07-05,2020-10-24,Elliot.Rogen46308@gmail.com,New Brunswick,"[45.956694, -66.658084]",2020-04-24,+15066375002
116,James,Ouellet,male,1963,English,0,Yes, physical,inactive,1963-07-14,2021-10-18,James.Ouellet94463@gmail.com,Quebec,"[46.807102,-71.211788]",,+15812533239
117,Riley,Gill,female,1947,English,0,No, physical,active,1947-08-06,2020-01-07,Riley.Gill42701@yahoo.com,Manitoba,"[49.887898, -97.134185]",2020-05-27,+14314855976
118,Oliver,Lin,male,1956,English,1,Yes, physical,active,1956-06-17,2020-11-01,Oliver.Lin93904@aol.com,Manitoba,"[49.887898, -97.134185]",,+12049308078
119,Emma,Harris,female,1974,Chinese,0,Yes,business,active,1974-11-08,2021-01-13,Emma.Harris57888@mail.com,Alberta,"[53.530798,-113.511802]",2020-07-02,+14037669799
120,Mia,Lavoie,female,1962,English,0,No, physical,active,1962-11-14,2021-04-26,Mia.Lavoie87112@mail.com,Manitoba,"[49.887898, -97.134185]",,+14314098588
121,Chloe,Martin,female,1990,English,0,Yes, physical,active,1990-11-06,2020-07-08,Chloe.Martin77439@aol.com,Quebec,"[46.807102,-71.211788]",,+14504401316
122,Amelia,Patel,female,1970,English,1,No, physical,active,1970-08-31,2021-09-30,Amelia.Patel69436@aol.com,Ontario,"[43.684345,-79.431292]",,+15488075056
123,Avery,Belanger,female,1986,Chinese,1,No, physical,active,1986-10-28,2020-07-16,Avery.Belanger39020@hotmail.com,Ontario,"[43.684345,-79.431292]",,+15487265841
124,Emma,Murray,female,1945,English,1,Yes, physical,active,1945-09-27,2020-11-06,Emma.Murray61898@aol.com,British Columbia,"[48.423095,-123.366788]",,+12362790872
125,Charlie,King,female,1979,English,0,Yes, physical,active,1979-05-02,2020-03-21,Charlie.King65615@aol.com,Manitoba,"[49.887898, -97.134185]",,+12048888683
126,Leah,Fortin,female,1972,English,1,Yes,business,active,1972-10-27,2020-05-11,Leah.Fortin87438@hotmail.com,Manitoba,"[49.887898, -97.134185]",,+12043510918
127,Avery,King,female,1945,French,1,No, physical,active,1945-12-11,2021-05-09,Avery.King4266@gmail.com,Manitoba,"[49.887898, -97.134185]",,+12041891136
128,Logan,Girard,male,1990,English,1,No,business,active,1990-12-15,2020-10-16,Logan.Girard97756@gmx.com,Quebec,"[46.807102,-71.211788]",,+13675360211
129,Miles,Morin,male,1955,English,1,No, physical,active,1955-02-28,2020-08-29,Miles.Morin29951@mail.com,British Columbia,"[48.423095,-123.366788]",,+16049023445
130,Jack,Johnson,male,1988,English,0,No, physical,active,1988-08-27,2020-08-29,Jack.Johnson12782@mail.com,Quebec,"[46.807102,-71.211788]",,+18195900416
131,Grayson,MacDonald,male,1962,English,1,No, physical,active,1962-03-21,2021-01-17,Grayson.MacDonald97395@hotmail.com,Ontario,"[43.684345,-79.431292]",,+14167551732
132,Zoey,Cote,female,2003,French,1,No, physical,active,2003-11-02,2020-02-14,Zoey.Cote42272@gmx.com,Ontario,"[43.684345,-79.431292]",,+15191455796
133,Olivia,Pelletier,female,1998,English,1,No, physical,active,1998-01-05,2021-04-15,Olivia.Pelletier29390@gmail.com,British Columbia,"[48.423095,-123.366788]",,+16722050737
134,Avery,Kennedy,female,1996,English,0,Yes, physical,active,1996-10-16,2021-10-14,Avery.Kennedy70577@hotmail.com,Ontario,"[43.684345,-79.431292]",,+16134859770
135,James,Patel,male,1992,English,1,Yes, physical,active,1992-02-06,2020-10-12,James.Patel47929@mail.com,Ontario,"[43.684345,-79.431292]",,+14168121855
136,James,Morin,male,1987,English,0,Yes, physical,active,1987-01-27,2021-07-11,James.Morin84470@yahoo.com,British Columbia,"[48.423095,-123.366788]",,+12365521351
137,Chloe,Patel,female,1952,English,1,Yes, physical,active,1952-12-06,2021-03-25,Chloe.Patel51027@gmail.com,Ontario,"[43.684345,-79.431292]",,+16134586773
138,Avery,Reynolds,female,2001,English,1,No, physical,active,2001-06-24,2021-06-26,Avery.Reynolds89635@aol.com,Alberta,"[53.530798,-113.511802]",,+18257163238
139,Theodore,Fortin,male,1970,English,0,No, physical,active,1970-06-01,2021-08-31,Theodore.Fortin53450@gmail.com,Ontario,"[43.684345,-79.431292]",,+15199925416
140,Scarlett,Morrison,female,1993,English,1,No, physical,active,1993-01-15,2021-10-13,Scarlett.Morrison20818@aol.com,Ontario,"[43.684345,-79.431292]",,+12495303234
141,Mason,Landry,male,1958,English,0,Yes, physical,active,1958-05-11,2020-03-14,Mason.Landry99065@gmail.com,Ontario,"[43.684345,-79.431292]",,+16476734915
142,Riley,Landry,female,1972,English,1,No, physical,active,1972-03-18,2020-06-22,Riley.Landry41697@hotmail.com,Ontario,"[43.684345,-79.431292]",,+18072027466
143,Levi,Chen,male,1959,French,1,No, physical,active,1959-10-21,2021-10-09,Levi.Chen88714@gmx.com,Quebec,"[46.807102,-71.211788]",,+15144001338
144,Hannah,Nguyen,female,1977,English,1,No, physical,active,1977-10-03,2021-01-02,Hannah.Nguyen57041@gmail.com,Ontario,"[43.684345,-79.431292]",,+14167440281
145,Ellie,Gagnon,female,1950,English,0,No, physical,active,1950-03-07,2021-04-30,Ellie.Gagnon81507@gmx.com,Alberta,"[53.530798,-113.511802]",,+14035693345
146,Ellie,Rogen,female,1954,English,0,No, physical,active,1954-01-05,2021-12-29,Ellie.Rogen71402@aol.com,Ontario,"[43.684345,-79.431292]",,+13659443188
147,Jack,Graham,male,1962,English,1,No, physical,active,1962-01-05,2021-01-04,Jack.Graham85190@aol.com,Ontario,"[43.684345,-79.431292]",2019-08-04,+17052778116
148,Henry,Levesque,male,1990,English,1,No, physical,active,1990-04-21,2020-03-29,Henry.Levesque79475@gmail.com,Ontario,"[43.684345,-79.431292]",2020-10-02,+12896115168
149,Isla,Nguyen,female,1958,English,1,No, physical,active,1958-05-20,2020-06-20,Isla.Nguyen23527@yahoo.com,Alberta,"[53.530798,-113.511802]",,+17801345998
150,Elliot,Ouellet,male,1997,English,1,Yes, physical,active,1997-04-18,2020-10-28,Elliot.Ouellet79811@hotmail.com,Ontario,"[43.684345,-79.431292]",2020-11-30,+12268816684
151,Levi,Morrison,male,2001,French,1,Yes, physical,active,2001-04-18,2021-09-12,Levi.Morrison46817@gmail.com,Quebec,"[46.807102,-71.211788]",,+14507921597
152,William,Davis,male,1964,English,1,No, physical,active,1964-07-14,2021-02-17,William.Davis8563@yahoo.com,Newfoundland and Labrador,"[47.561796, -52.712189]",,+17093158513
153,Chloe,Morrison,female,1985,English,1,Yes, physical,active,1985-01-25,2020-12-07,Chloe.Morrison5151@yahoo.com,Saskatchewan,"[50.464050, -104.605617]",,+16391209573
154,Leah,Morin,female,1962,English,0,Yes, physical,inactive,1962-06-11,2021-12-05,Leah.Morin67490@hotmail.com,Ontario,"[43.684345,-79.431292]",,+14379380010
155,Levi,Khan,male,1969,English,0,No, physical,active,1969-04-12,2020-12-21,Levi.Khan14212@gmail.com,Quebec,"[46.807102,-71.211788]",,+13679357423
156,Leah,Nadeau,female,1976,English,0,No, physical,active,1976-02-07,2020-09-04,Leah.Nadeau91025@yahoo.com,Quebec,"[46.807102,-71.211788]",,+18199427748
157,Jack,Campbell,male,1957,English,0,Yes, physical,active,1957-09-02,2020-10-09,Jack.Campbell90762@aol.com,Quebec,"[46.807102,-71.211788]",,+13679794431
158,William,Campbell,male,1965,English,1,Yes, physical,active,1965-02-22,2020-11-19,William.Campbell17257@aol.com,Ontario,"[43.684345,-79.431292]",,+18073158219
159,Elliot,Gauthier,male,1944,English,0,No, physical,active,1944-11-03,2021-06-13,Elliot.Gauthier66963@aol.com,Manitoba,"[49.887898, -97.134185]",,+12048390481
